ObjectName,ObjectType,LocatorType,Locator,PageName
OnlineJavaCompilerIDEText,TEXT,XPATH,//h1[@class='text-md font-medium xl:text-lg'],Online Java Compiler IDE Text
ProductsText,TEXT,XPATH,(//button[normalize-space()='Products'])[1],Products Text
PricingText,TEXT,XPATH,(//a[@class='md:link-nav items-center rounded-md px-2 py-1 text-[14px]'])[1],Pricing Text
ExternalLibrariesText,TEXT,XPATH,//button[@id='tabs-libs-item'],External Libraries Text
OutputText,TEXT,XPATH,//button[@id='tabs-output-item'],Output Text
ExecuteButton,BUTTON,XPATH,//button[normalize-space()='Execute'],Execute Button
OutputResult,TEXT,XPATH,//div[@id='output']//div[@class='ace_scroller'],OutputResult
FontSizeText,TEXT,XPATH,//label[@for='fontSizeSelect'],Font Size Text
FontSizeButton,BUTTON,XPATH,//div[@class='section-tertiary flex h-full items-center justify-center rounded-lg p-2']//select[@id='fontSizeSelect'],Font Size Button
Choose18Px,BUTTON,XPATH,//div[@class='section-tertiary flex h-full items-center justify-center rounded-lg p-2']//option[@value='18'][normalize-space()='18px'],Choose 18Px
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
, ,,, 
